temperatura,data
27.000000,1441365986.678665
26.937000,1441365988.465775
26.937000,1441365990.245092
26.937000,1441365992.022528
26.937000,1441365993.799760
26.937000,1441365995.577095
26.937000,1441365997.354393
26.875000,1441365999.137582
26.875000,1441366000.915016
26.875000,1441366002.692303
26.875000,1441366004.479412
26.812000,1441366006.256757
26.812000,1441366008.034125
26.812000,1441366009.811504
26.812000,1441366011.588873
26.812000,1441366014.131101
26.750000,1441366015.907223
26.750000,1441366017.684522
26.687000,1441366019.461827
26.687000,1441366021.239214
26.687000,1441366023.016523
26.625000,1441366024.794007
26.625000,1441366026.571279
26.625000,1441366028.348579
26.562000,1441366030.125912
26.562000,1441366031.904145
26.500000,1441366033.686601
26.500000,1441366035.464719
26.500000,1441366037.241100
26.500000,1441366039.018513
26.437000,1441366040.795881
26.437000,1441366042.573196
26.437000,1441366044.350542
26.437000,1441366046.127921
26.437000,1441366047.905222
26.437000,1441366049.682501
26.375000,1441366051.460013
26.375000,1441366053.237263
26.375000,1441366055.014586
26.375000,1441366056.792529
26.375000,1441366058.569275
26.312000,1441366060.346722
26.312000,1441366062.123960
26.312000,1441366063.901865
26.312000,1441366065.678672
26.312000,1441366067.456004
26.312000,1441366069.233339
26.312000,1441366071.010749
26.312000,1441366072.788023
26.312000,1441366074.565387
26.250000,1441366076.342731
26.250000,1441366078.120063
26.250000,1441366079.897423
26.187000,1441366081.674758
26.187000,1441366083.452120
26.187000,1441366085.229504
26.187000,1441366087.006746
26.187000,1441366088.784136
26.187000,1441366090.561641
26.125000,1441366092.338809
26.125000,1441366094.116265
26.125000,1441366095.893496
26.125000,1441366097.670819
26.125000,1441366099.448190
26.125000,1441366101.225518
26.062000,1441366103.002859
26.125000,1441366104.780303
26.062000,1441366106.557587
26.062000,1441366108.334916
26.062000,1441366110.112245
26.062000,1441366111.889588
26.062000,1441366113.666940
26.000000,1441366115.444318
26.000000,1441366117.221647
26.000000,1441366118.998949
26.000000,1441366120.776351
26.000000,1441366122.553670
25.937000,1441366124.331125
25.937000,1441366126.110298
25.937000,1441366127.887679
25.937000,1441366129.665000
25.937000,1441366131.442364
25.937000,1441366133.219694
25.937000,1441366134.996998
25.937000,1441366136.775288
25.875000,1441366138.551804
25.937000,1441366140.329064
25.875000,1441366142.106420
25.875000,1441366143.886857
25.937000,1441366145.666940
25.875000,1441366147.444313
25.875000,1441366149.221618
25.875000,1441366150.998968
25.875000,1441366152.776323
25.875000,1441366154.553667
25.875000,1441366156.331015
25.875000,1441366158.108329
25.875000,1441366159.891561
25.875000,1441366161.668889
25.875000,1441366163.446342
25.812000,1441366165.233353
25.875000,1441366167.012679
25.812000,1441366168.789986
25.812000,1441366170.568188
25.812000,1441366172.344692
25.875000,1441366174.122029
25.812000,1441366175.899330
25.875000,1441366177.676717
25.812000,1441366179.454054
25.875000,1441366181.235272
25.812000,1441366183.013499
25.812000,1441366184.790003
25.812000,1441366186.567331
25.875000,1441366188.344670
25.812000,1441366190.128735
25.812000,1441366191.909129
25.812000,1441366193.687023
25.812000,1441366195.463790
25.875000,1441366197.245061
