temperatura,data
53.750000,1441381534.643600
53.750000,1441381536.420887
53.687000,1441381538.198224
53.687000,1441381539.975526
53.625000,1441381541.754848
53.625000,1441381543.532135
53.562000,1441381545.309533
53.500000,1441381547.086865
53.500000,1441381548.864220
53.437000,1441381550.641550
53.437000,1441381552.418896
53.375000,1441381554.196254
53.375000,1441381555.973615
53.312000,1441381557.750897
53.312000,1441381559.528258
53.250000,1441381561.305734
53.187000,1441381563.082984
53.187000,1441381564.860293
53.187000,1441381566.637748
53.125000,1441381568.415918
53.062000,1441381570.192354
53.062000,1441381571.969677
53.000000,1441381573.747025
53.000000,1441381575.524388
52.937000,1441381577.301741
52.937000,1441381579.079064
52.875000,1441381580.856409
52.875000,1441381582.640303
52.812000,1441381584.416942
52.812000,1441381586.194294
52.750000,1441381587.971713
52.750000,1441381589.748968
52.750000,1441381591.526309
52.625000,1441381593.303694
52.625000,1441381595.081009
52.562000,1441381596.858354
52.500000,1441381598.635671
52.500000,1441381600.418887
52.437000,1441381602.197241
52.437000,1441381603.973603
52.375000,1441381605.751042
52.375000,1441381607.530233
52.312000,1441381609.307613
52.312000,1441381611.085042
52.250000,1441381612.862275
52.250000,1441381614.639592
52.187000,1441381616.428692
52.187000,1441381618.206017
52.125000,1441381619.983341
52.125000,1441381621.760791
52.125000,1441381623.538037
52.125000,1441381625.315412
52.062000,1441381627.094695
52.062000,1441381628.872032
52.000000,1441381630.649394
51.937000,1441381632.426686
51.937000,1441381634.204055
51.875000,1441381635.981418
51.875000,1441381637.758810
51.875000,1441381639.536039
51.875000,1441381641.313455
51.812000,1441381643.090875
51.812000,1441381644.868093
51.750000,1441381646.646022
51.750000,1441381648.428667
51.687000,1441381650.206016
51.687000,1441381651.983384
51.625000,1441381653.760766
51.625000,1441381655.538060
51.625000,1441381657.315400
51.562000,1441381659.094692
51.562000,1441381660.872019
51.500000,1441381662.649371
51.500000,1441381664.426723
51.437000,1441381666.204064
51.375000,1441381667.981385
51.312000,1441381669.758824
51.250000,1441381671.536080
51.250000,1441381673.313558
51.187000,1441381675.096643
51.125000,1441381676.875914
51.125000,1441381678.653262
51.062000,1441381680.436492
51.062000,1441381682.214339
51.000000,1441381683.991149
50.937000,1441381685.769391
50.937000,1441381687.545846
50.875000,1441381689.323217
50.875000,1441381691.106390
50.812000,1441381692.883729
50.812000,1441381694.661347
50.750000,1441381696.444268
50.750000,1441381698.221735
50.687000,1441381699.998992
50.625000,1441381701.776274
50.625000,1441381703.553658
50.562000,1441381705.330966
50.500000,1441381707.114217
50.500000,1441381708.891667
50.437000,1441381710.668905
50.437000,1441381712.446207
50.375000,1441381714.223620
50.312000,1441381716.000930
50.312000,1441381717.778254
50.250000,1441381719.555734
50.250000,1441381721.333016
50.187000,1441381723.110317
50.125000,1441381724.887658
50.125000,1441381726.664968
50.125000,1441381728.456020
50.125000,1441381730.233361
50.062000,1441381732.010902
50.062000,1441381733.788920
50.062000,1441381735.565367
50.000000,1441381737.342740
50.000000,1441381739.120093
49.937000,1441381740.897401
49.875000,1441381742.674769
49.875000,1441381744.452118
49.812000,1441381746.229453
49.812000,1441381748.006813
49.750000,1441381749.784331
49.750000,1441381751.561975
49.687000,1441381753.338859
49.687000,1441381755.116145
49.687000,1441381756.893515
49.625000,1441381758.670831
49.625000,1441381760.448180
49.625000,1441381762.225451
49.562000,1441381764.002907
49.562000,1441381765.780386
