temperatura,data
29.750000,1461527390.876228
29.750000,1461527391.885698
29.750000,1461527392.897423
29.750000,1461527393.910327
29.750000,1461527394.918862
29.750000,1461527395.923968
29.750000,1461527396.932610
29.750000,1461527397.940411
29.750000,1461527398.948181
29.812000,1461527399.957957
29.750000,1461527400.966000
29.750000,1461527401.970295
29.750000,1461527402.975008
29.750000,1461527403.980059
29.750000,1461527404.984055
29.750000,1461527405.987862
29.750000,1461527406.991743
29.812000,1461527407.998679
29.750000,1461527408.996519
29.750000,1461527409.999293
29.750000,1461527411.005053
29.812000,1461527412.013359
29.750000,1461527413.017144
29.750000,1461527414.020737
29.750000,1461527415.024682
29.750000,1461527416.031459
29.750000,1461527417.037510
29.750000,1461527418.041961
29.750000,1461527419.046065
29.750000,1461527420.052011
29.750000,1461527421.061544
29.812000,1461527422.071264
29.750000,1461527423.081053
29.750000,1461527424.090787
29.750000,1461527425.101306
29.750000,1461527426.120099
29.750000,1461527427.124007
29.750000,1461527428.127902
29.750000,1461527429.131828
29.750000,1461527430.135730
29.812000,1461527431.139678
29.812000,1461527432.143607
29.750000,1461527433.148015
29.812000,1461527434.151336
29.812000,1461527435.165006
29.750000,1461527436.168919
29.750000,1461527437.172845
29.750000,1461527438.176724
29.750000,1461527439.180659
29.750000,1461527440.184550
29.812000,1461527441.189004
29.750000,1461527442.192355
29.812000,1461527443.196273
29.812000,1461527444.200165
29.812000,1461527445.204073
29.812000,1461527446.207980
29.812000,1461527447.211888
29.812000,1461527448.215796
29.750000,1461527449.219872
29.750000,1461527450.223604
29.812000,1461527451.227523
29.750000,1461527452.231403
29.750000,1461527453.235329
29.812000,1461527454.239229
29.812000,1461527455.243132
29.812000,1461527456.247054
29.812000,1461527457.251116
29.750000,1461527458.254845
29.812000,1461527459.258760
29.812000,1461527460.262938
29.750000,1461527461.266588
29.750000,1461527462.270473
29.750000,1461527463.274379
29.750000,1461527464.278361
29.750000,1461527466.047888
29.750000,1461527467.051794
29.750000,1461527468.057620
29.812000,1461527469.061522
29.750000,1461527470.065427
29.812000,1461527471.069452
29.750000,1461527472.073420
29.750000,1461527473.077343
29.750000,1461527474.081252
29.750000,1461527475.085192
29.812000,1461527476.089080
29.750000,1461527477.094912
29.750000,1461527478.101246
29.750000,1461527479.107275
29.750000,1461527480.114403
29.750000,1461527481.120305
29.750000,1461527482.122201
29.750000,1461527483.128098
29.750000,1461527484.134720
29.750000,1461527485.139822
29.750000,1461527486.145691
29.750000,1461527487.147621
29.750000,1461527488.153452
29.750000,1461527489.159322
29.750000,1461527490.165188
29.750000,1461527491.171130
29.750000,1461527492.174929
29.750000,1461527493.180784
29.750000,1461527494.186653
29.750000,1461527495.192546
29.750000,1461527496.198441
29.750000,1461527497.200357
29.750000,1461527498.206190
29.750000,1461527499.213088
29.750000,1461527500.219867
29.750000,1461527501.225765
29.750000,1461527502.227684
29.750000,1461527503.233547
29.750000,1461527504.239377
29.750000,1461527505.245258
29.750000,1461527506.251138
29.750000,1461527507.253775
29.750000,1461527508.262828
29.750000,1461527509.266592
29.750000,1461527510.270444
29.750000,1461527511.274339
29.750000,1461527512.278279
29.750000,1461527513.282183
29.750000,1461527514.286084
29.750000,1461527515.291955
29.750000,1461527516.295844
29.750000,1461527517.299758
29.750000,1461527518.303663
29.750000,1461527519.307570
29.750000,1461527520.311471
29.750000,1461527521.315387
29.750000,1461527522.319285
29.750000,1461527523.325160
29.750000,1461527524.329066
29.750000,1461527525.332962
29.750000,1461527526.352493
29.750000,1461527527.356393
29.687000,1461527528.360306
29.687000,1461527529.364214
29.750000,1461527530.368134
29.750000,1461527531.372033
29.750000,1461527532.375942
29.750000,1461527533.379842
29.750000,1461527534.383729
29.750000,1461527535.399348
29.750000,1461527536.403264
29.750000,1461527537.407180
29.687000,1461527538.411075
29.750000,1461527539.414997
29.750000,1461527540.418896
29.750000,1461527541.422814
29.750000,1461527542.426700
29.750000,1461527543.430607
29.750000,1461527544.434521
29.687000,1461527545.438423
29.750000,1461527546.442345
29.750000,1461527547.446242
29.687000,1461527548.450157
29.750000,1461527549.454070
29.750000,1461527550.457978
29.750000,1461527551.461869
29.750000,1461527552.465781
29.687000,1461527553.469676
29.687000,1461527554.473836
29.750000,1461527555.477487
29.750000,1461527556.481407
29.750000,1461527557.485311
29.750000,1461527558.489219
29.750000,1461527559.493114
29.687000,1461527560.497021
29.750000,1461527561.500929
29.750000,1461527562.506798
29.750000,1461527563.510716
29.750000,1461527564.514617
