temperatura,data
20.200000,1404790916.416406
20.400000,1404790917.429680
20.600000,1404790918.437585
20.800000,1404790919.444913
21.000000,1404790920.452805
21.200000,1404790921.456841
21.400000,1404790922.463735
21.600000,1404790923.467583
21.800000,1404790924.498049
22.000000,1404790925.506032
22.200000,1404790926.509948
22.400000,1404790927.517457
22.600000,1404790928.524383
22.800000,1404790929.537880
23.000000,1404790930.545577
23.200000,1404790931.549507
23.400000,1404790932.556814
23.600000,1404790933.563878
23.800000,1404790934.577984
24.000000,1404790935.584953
24.200000,1404790936.593256
24.400000,1404790937.600288
24.600000,1404790938.607549
24.800000,1404790939.619695
25.000000,1404790940.626815
25.200000,1404790941.630865
25.400000,1404790942.638678
25.600000,1404790943.646136
25.800000,1404790944.659690
26.000000,1404790945.666691
26.200000,1404790946.670631
26.400000,1404790947.677571
26.600000,1404790948.684533
26.800000,1404790949.697847
27.000000,1404790950.705400
27.200000,1404790951.709358
27.400000,1404790952.713301
27.600000,1404790953.720650
27.800000,1404790954.733924
28.000000,1404790955.740941
28.200000,1404790956.748198
28.400000,1404790957.755256
28.600000,1404790958.761757
28.800000,1404790959.774990
29.000000,1404790960.782527
29.200000,1404790961.786528
29.400000,1404790962.794813
29.600000,1404790963.801752
29.800000,1404790964.819992
30.000000,1404790965.826993
30.200000,1404790966.830970
30.400000,1404790967.837819
30.600000,1404790968.844756
30.800000,1404790969.858171
31.000000,1404790970.866749
31.200000,1404790971.871089
31.400000,1404790972.879086
31.600000,1404790973.887145
31.800000,1404790974.898531
32.000000,1404790975.902359
32.200000,1404790976.910287
32.400000,1404790977.917320
32.600000,1404790978.924767
32.800000,1404790979.938245
33.000000,1404790980.942134
33.200000,1404790981.950660
33.400000,1404790982.955610
33.600000,1404790983.963804
33.800000,1404790984.977910
34.000000,1404790985.984900
34.200000,1404790986.992034
34.400000,1404790987.999328
34.600000,1404790989.003542
34.800000,1404790990.017227
35.000000,1404790991.024192
35.200000,1404790992.032180
35.400000,1404790993.039660
35.600000,1404790994.046790
35.800000,1404790995.060111
36.000000,1404790996.067783
36.200000,1404790997.074692
36.400000,1404790998.082348
36.600000,1404790999.089301
36.800000,1404791000.103064
37.000000,1404791001.110093
37.200000,1404791002.118661
37.400000,1404791003.125662
37.600000,1404791004.132783
37.800000,1404791005.146303
38.000000,1404791006.153231
38.200000,1404791007.160170
